company_ntn,person_cnic,person_name,role,shareholding_percent
1761961-6,61101-4722306-5,Muhammad Sheikh,CEO/Director,100
6670891-7,34603-6146546-9,Junaid Sheikh,CEO/Director,51
7073733-4,36302-8931018-2,Noor Satti,CEO/Director,51
9819061-1,61101-5702082-9,Bilawal Satti,CEO/Director,60
2065036-4,37405-8060106-0,Aqsa Chaudhry,CEO/Director,51
7012551-9,34603-0655744-9,Bilal Chaudhry,CEO/Director,51
2288156-1,34603-5077528-9,Zain Raja,CEO/Director,75
4553419-9,61101-5809994-8,Hira Raja,CEO/Director,60
6183453-1,37405-8182397-7,Fahad Malik,CEO/Director,51
3196429-3,36302-7029346-5,Farhan Malik,CEO/Director,60
6961010-0,33100-3109837-7,Hassan Malik,CEO/Director,75
5816582-2,34603-1854085-9,Muhammad Tariq Awan,CEO/Director,51
6086880-9,61101-0264310-9,Muhammad Nauman Awan,CEO/Director,75
7065807-3,35202-2624961-5,Hassan Mir,CEO/Director,100
6640066-4,37405-3766095-9,Adnan Abbasi,CEO/Director,60
5649094-9,34603-9657482-1,Ahmed Cheema,CEO/Director,100
9878233-7,37405-8626348-3,Fahad Malik,CEO/Director,51
6810265-1,35202-4653998-9,Muhammad Awan,CEO/Director,51
4607701-6,34603-8958017-9,Umar Tarar,CEO/Director,75
3869476-3,42101-8822955-3,Muhammad Usman Malik,CEO/Director,60
5572568-4,61101-5001639-1,Muhammad Tariq Gondal,CEO/Director,100
9496093-0,36302-2553282-4,Amna Tarar,CEO/Director,75
2359278-1,34101-0156138-5,Usman Mughal,CEO/Director,75
8142764-4,34603-1582152-3,Muhammad Waqas Khan,CEO/Director,60
5868888-9,36302-9785617-5,Farhan Sheikh,CEO/Director,51
6728461-6,37405-8326108-8,Komal Khan,CEO/Director,51
6901159-4,61101-4897363-5,Muhammad Rana,CEO/Director,100
1950346-5,35202-6303305-3,Muhammad Zain Qureshi,CEO/Director,51
2374918-8,61101-3747302-6,Fatima Malik,CEO/Director,60
9663586-6,61101-5595889-8,Sobia Mir,CEO/Director,100
9735615-0,34101-7739594-3,Muhammad Hussain Janjua,CEO/Director,100
4503719-1,42101-8692343-9,Kamran Mir,CEO/Director,60
8913584-4,36302-8222994-0,Mehwish Chaudhry,CEO/Director,60
1287806-7,42101-1431993-0,Rabia Sandhu,CEO/Director,60
1226310-1,37405-4893782-7,Hussain Sheikh,CEO/Director,51
9186139-0,36302-8897672-1,Muhammad Imran Awan,CEO/Director,60
2589478-0,36302-4055341-1,Saad Gondal,CEO/Director,60
8541746-0,37405-4270649-5,Adnan Chaudhry,CEO/Director,75
2144034-8,33100-5835536-7,Muhammad Bilawal Sandhu,CEO/Director,60
3999556-7,42101-6914021-7,Usman Gondal,CEO/Director,75
4329892-9,37405-1237541-7,Muhammad Chaudhry,CEO/Director,100
8787178-7,37405-9776958-5,Abdullah Bhatti,CEO/Director,75
3414982-1,61101-1144352-6,Rabia Satti,CEO/Director,100
1737815-3,37405-3615258-3,Muhammad Bilal Tarar,CEO/Director,100
2969105-3,37405-9923572-1,Fahad Tarar,CEO/Director,75
8853890-0,36302-1409885-7,Muhammad Salman Cheema,CEO/Director,60
8015756-5,34603-2749309-3,Faizan Mir,CEO/Director,60
5534861-5,17301-5303488-5,Tariq Qureshi,CEO/Director,60
1770776-1,42101-8576285-1,Faizan Cheema,CEO/Director,100
5711167-7,34603-2625803-1,Muhammad Bilal Sandhu,CEO/Director,51
9114865-6,61101-2131420-7,Muhammad Hussain Mir,CEO/Director,60
2550970-4,17301-2431256-2,Hina Satti,CEO/Director,75
1271393-6,36302-0251400-1,Imran Gondal,CEO/Director,60
4145252-2,37405-6565246-1,Bilal Khan,CEO/Director,75
8848463-1,17301-2668059-1,Umar Khan,CEO/Director,100
4318687-9,34603-4237891-1,Muhammad Ahmed Mir,CEO/Director,60
7302012-7,42101-6672488-5,Asad Mir,CEO/Director,100
9846019-7,34101-8213685-0,Sadia Dar,CEO/Director,51
9136148-5,36302-9268527-3,Umar Raja,CEO/Director,100
3220878-5,36302-0000860-9,Muhammad Imran Satti,CEO/Director,51
1867274-3,17301-4880095-1,Muhammad Tariq Warraich,CEO/Director,75
8705748-5,17301-1718853-7,Shahzad Rana,CEO/Director,60
4358387-8,61101-1789180-2,Hina Cheema,CEO/Director,100
7725306-9,17301-2678780-8,Amna Mughal,CEO/Director,100
8024828-6,61101-9872171-4,Sadia Sandhu,CEO/Director,60
4211989-1,42101-4030716-3,Shahzad Qureshi,CEO/Director,75
1053207-6,37405-5838333-9,Saad Dar,CEO/Director,75
5628943-5,34101-4884116-3,Hamza Cheema,CEO/Director,100
7595603-9,17301-6149303-9,Kamran Raja,CEO/Director,75
9282408-8,36302-3547082-0,Mehwish Chaudhry,CEO/Director,100
9428019-7,35202-8363583-5,Muhammad Salman Chaudhry,CEO/Director,100
7079142-4,36302-5271792-7,Hassan Tarar,CEO/Director,60
9403231-1,36302-6135372-5,Danish Sheikh,CEO/Director,51
7521558-8,36302-5792493-5,Fahad Satti,CEO/Director,75
6838304-6,35202-5099385-7,Waqas Awan,CEO/Director,51
1763270-3,35202-1842469-4,Sadia Mir,CEO/Director,60
2230384-3,34101-9763397-0,Komal Bhatti,CEO/Director,60
6678163-0,34101-6073512-9,Muhammad Farhan Cheema,CEO/Director,100
4422191-7,17301-7231467-4,Sobia Mir,CEO/Director,100
1702061-8,34603-7244847-7,Ali Chaudhry,CEO/Director,75
1068794-3,33100-1770465-6,Hina Abbasi,CEO/Director,100
2377309-5,17301-3735485-5,Muhammad Bilawal Qureshi,CEO/Director,60
9293993-1,37405-2063295-9,Muhammad Ali Malik,CEO/Director,75
1523161-4,61101-7523891-2,Areeba Rana,CEO/Director,75
7931366-6,36302-9761582-2,Saba Chaudhry,CEO/Director,51
4733636-4,61101-7098365-5,Abdullah Rana,CEO/Director,100
6060279-4,34603-0466560-9,Muhammad Hussain Khan,CEO/Director,51
5744916-9,61101-6650284-5,Bilal Satti,CEO/Director,100
4088045-1,37405-5229006-1,Danish Warraich,CEO/Director,100
9042359-5,61101-4845550-6,Nimra Janjua,CEO/Director,51
4623070-3,42101-0087301-1,Junaid Mughal,CEO/Director,60
8577704-0,34603-8826576-5,Danish Chaudhry,CEO/Director,60
7757236-6,42101-1972794-5,Shahzad Mir,CEO/Director,51
5467054-8,17301-7941867-5,Danish Khan,CEO/Director,100
2379028-7,35202-5143990-7,Hamza Rana,CEO/Director,75
3240238-1,61101-2238524-6,Hina Mir,CEO/Director,100
1267864-7,34603-8339065-6,Kiran Abbasi,CEO/Director,100
9127873-3,61101-0277838-7,Muhammad Junaid Malik,CEO/Director,51
3178830-2,34603-1105595-9,Danish Janjua,CEO/Director,51
1131234-1,34603-4761678-5,Muhammad Imran Sheikh,CEO/Director,51
2351399-8,36302-3192288-1,Fahad Mughal,CEO/Director,60
3470046-2,33100-9333686-1,Muhammad Abdullah Satti,CEO/Director,100
3449983-9,61101-0265428-5,Ahmed Satti,CEO/Director,75
1489413-4,34603-0729511-1,Nauman Qureshi,CEO/Director,51
5908657-5,34101-7624701-1,Muhammad Tariq Khan,CEO/Director,51
5644119-2,35202-8621025-7,Salman Chaudhry,CEO/Director,51
6811079-9,61101-7970723-1,Shahzad Malik,CEO/Director,60
7172024-6,17301-4861160-3,Muhammad Nauman Warraich,CEO/Director,60
5584916-2,61101-0919594-9,Danish Awan,CEO/Director,60
8842307-6,34101-7430991-7,Hamza Warraich,CEO/Director,100
8627051-6,35202-8160766-5,Muhammad Asad Raja,CEO/Director,60
7195195-5,42101-3219313-4,Sana Warraich,CEO/Director,75
7118968-9,36302-1437217-1,Tariq Janjua,CEO/Director,60
3899168-9,17301-3667399-4,Mehwish Malik,CEO/Director,75
8345498-3,34603-2585457-8,Aqsa Butt,CEO/Director,51
7352932-5,34101-6837928-7,Hamza Tarar,CEO/Director,60
6863008-1,37405-5161965-3,Salman Cheema,CEO/Director,100
2518715-3,42101-8155686-5,Usman Khan,CEO/Director,75
6727924-9,36302-2427216-3,Muhammad Tariq Abbasi,CEO/Director,75
5775027-7,34101-2441240-7,Asad Abbasi,CEO/Director,51
4045520-8,34101-0450718-4,Mehwish Raja,CEO/Director,51
7079494-0,17301-3038219-1,Muhammad Fahad Sandhu,CEO/Director,51
3378128-6,42101-9569087-8,Maryam Qureshi,CEO/Director,51
9623115-9,17301-4201345-3,Nauman Qureshi,CEO/Director,60
3930626-6,37405-8606823-3,Bilal Awan,CEO/Director,75
4688102-0,17301-2336979-9,Muhammad Bilal Malik,CEO/Director,60
3425293-3,17301-4736995-4,Nimra Tarar,CEO/Director,100
7067581-3,42101-8490233-8,Kiran Butt,CEO/Director,75
5773485-1,61101-2305566-8,Rabia Raja,CEO/Director,100
3488690-1,34603-9467355-9,Junaid Janjua,CEO/Director,51
2318871-2,42101-8995113-2,Noor Khan,CEO/Director,100
7919018-7,17301-7308673-1,Fahad Abbasi,CEO/Director,75
2118030-5,35202-2499484-5,Saad Dar,CEO/Director,51
1475009-5,17301-4305560-9,Muhammad Faizan Dar,CEO/Director,51
6052194-9,36302-2119668-3,Muhammad Farhan Gondal,CEO/Director,51
4630725-9,36302-6694341-4,Sidra Sandhu,CEO/Director,100
3204428-3,34101-9815704-1,Waqas Bhatti,CEO/Director,100
5591104-6,33100-4444386-5,Muhammad Imran Sandhu,CEO/Director,75
3027014-3,17301-1624051-2,Nimra Khan,CEO/Director,75
4573632-3,34603-7197649-3,Muhammad Waqas Tarar,CEO/Director,51
3075917-6,33100-8088109-3,Bilal Cheema,CEO/Director,51
2486095-0,35202-1357664-9,Muhammad Junaid Warraich,CEO/Director,51
9730914-1,34603-5416907-1,Faizan Butt,CEO/Director,60
7080279-9,42101-2179369-9,Hamza Raja,CEO/Director,75
6307590-7,34101-6173523-5,Muhammad Junaid Raja,CEO/Director,51
2124217-5,42101-6040826-9,Muhammad Farhan Chaudhry,CEO/Director,60
9620057-8,35202-8678723-4,Zainab Satti,CEO/Director,60
1680555-8,33100-1798593-2,Hira Bhatti,CEO/Director,51
4974613-0,36302-9843112-7,Muhammad Hussain Rana,CEO/Director,100
7038766-0,36302-5398224-3,Muhammad Ali Butt,CEO/Director,51
1677913-2,42101-2367666-8,Sadia Qureshi,CEO/Director,60
7113658-6,17301-1582359-5,Muhammad Imran Gondal,CEO/Director,100
8602745-2,37405-6020061-7,Muhammad Zain Malik,CEO/Director,60
7985712-2,42101-2799543-1,Hassan Butt,CEO/Director,51
1957715-8,35202-3623303-0,Aqsa Awan,CEO/Director,60
4582204-4,17301-5215236-9,Muhammad Fahad Malik,CEO/Director,51
6726483-5,42101-8650854-5,Ahmed Satti,CEO/Director,60
1553477-6,35202-8456319-0,Ayesha Qureshi,CEO/Director,60
6418473-3,37405-0869622-5,Muhammad Abdullah Butt,CEO/Director,60
4040714-5,36302-8005750-0,Sana Khan,CEO/Director,100
8474927-6,34603-9053058-7,Usman Mughal,CEO/Director,51
6418655-1,42101-8566713-5,Salman Cheema,CEO/Director,51
2261831-1,42101-1651380-2,Sadia Gondal,CEO/Director,60
2186235-8,36302-0805796-3,Muhammad Ali Mir,CEO/Director,75
5836572-7,33100-2392728-5,Ahmed Gondal,CEO/Director,100
7247285-6,17301-3256925-0,Iqra Gondal,CEO/Director,60
2516355-9,37405-0159175-9,Faizan Raja,CEO/Director,60
6720616-6,34603-7452436-4,Areeba Tarar,CEO/Director,51
1363837-5,37405-4445940-8,Sidra Cheema,CEO/Director,60
9738747-1,34101-0912530-7,Muhammad Fahad Abbasi,CEO/Director,75
3018926-1,34101-5486250-2,Kiran Janjua,CEO/Director,75
5716927-0,35202-7825172-6,Noor Janjua,CEO/Director,60
9671079-1,34101-7709573-1,Muhammad Waqas Khan,CEO/Director,75
5304189-5,17301-7519510-9,Muhammad Kamran Bhatti,CEO/Director,100
5544728-9,36302-3809428-1,Muhammad Hussain Butt,CEO/Director,60
8109586-2,34603-4371610-7,Farhan Malik,CEO/Director,60
6065169-7,36302-9931615-2,Fatima Malik,CEO/Director,51
5841014-3,33100-6351867-1,Hamza Butt,CEO/Director,75
3750236-3,35202-1108653-3,Abdullah Mir,CEO/Director,60
1701712-3,36302-2392008-1,Ali Raja,CEO/Director,60
1930810-1,36302-7691088-8,Hina Janjua,CEO/Director,100
6462795-9,36302-6846131-7,Muhammad Bilal Sandhu,CEO/Director,100
6965176-4,17301-6088635-6,Sadia Khan,CEO/Director,51
2147198-7,37405-5538259-7,Muhammad Sheikh,CEO/Director,100
4055401-6,33100-6504634-6,Sadia Raja,CEO/Director,60
8889994-5,35202-9358280-7,Ahmed Warraich,CEO/Director,60
1159028-2,34603-7332864-7,Muhammad Mir,CEO/Director,51
4908744-9,34101-3781008-0,Hira Abbasi,CEO/Director,75
1510953-8,42101-0829513-9,Fahad Tarar,CEO/Director,75
4415267-3,37405-4894570-0,Sana Dar,CEO/Director,100
6860150-3,42101-3457304-1,Muhammad Salman Malik,CEO/Director,51
9949731-4,34603-4869813-7,Zain Dar,CEO/Director,100
8356822-5,33100-9529909-7,Muhammad Saad Gondal,CEO/Director,75
7121379-1,34101-0629480-3,Asad Dar,CEO/Director,51
8347118-5,34603-5665875-7,Tariq Dar,CEO/Director,75
5043865-3,35202-8478520-6,Hina Dar,CEO/Director,100
6856795-6,35202-3779390-5,Ali Mir,CEO/Director,100
1213421-2,36302-8419753-0,Amna Butt,CEO/Director,60
2683201-9,34603-0993372-0,Aqsa Rana,CEO/Director,60
4276712-1,36302-1629480-3,Asad Abbasi,CEO/Director,51
5859057-4,34101-8169096-8,Ayesha Sandhu,CEO/Director,100
9791299-6,37405-1574553-1,Muhammad Bilal Janjua,CEO/Director,60
5322741-7,17301-5950725-1,Muhammad Asad Mughal,CEO/Director,60
5354839-3,34101-6436100-9,Salman Sandhu,CEO/Director,75
3489315-7,34603-5407257-7,Abdullah Warraich,CEO/Director,75
7457818-9,35202-4406832-9,Salman Janjua,CEO/Director,75
5165353-1,42101-4532476-8,Hira Tarar,CEO/Director,75
9968724-6,34603-1492245-3,Muhammad Salman Khan,CEO/Director,60
6318709-3,36302-2508231-6,Aqsa Malik,CEO/Director,60
7186667-2,34101-2697935-3,Umar Qureshi,CEO/Director,51
4606282-7,34603-5649997-3,Hassan Satti,CEO/Director,75
3654708-7,36302-8641225-1,Muhammad Salman Gondal,CEO/Director,51
8191666-8,42101-7886995-6,Iqra Gondal,CEO/Director,60
7920221-5,42101-2252319-2,Zainab Janjua,CEO/Director,60
5360339-9,35202-9080547-9,Abdullah Mughal,CEO/Director,75
8981586-0,17301-7900827-6,Sadia Warraich,CEO/Director,60
7705054-3,35202-8005425-7,Shahzad Warraich,CEO/Director,60
4415000-8,36302-0932401-9,Ahmed Awan,CEO/Director,60
6487488-0,35202-6999715-7,Muhammad Bilal Qureshi,CEO/Director,51
5045521-1,34603-9421776-7,Waqas Sandhu,CEO/Director,60
4727869-9,37405-5693728-8,Komal Cheema,CEO/Director,60
7676334-8,17301-7281415-9,Kamran Abbasi,CEO/Director,100
6198540-3,37405-6147951-3,Danish Qureshi,CEO/Director,100
9689823-3,33100-8991099-9,Muhammad Hamza Cheema,CEO/Director,60
7335837-1,34603-5526717-7,Hassan Malik,CEO/Director,100
5328703-1,61101-3140969-7,Muhammad Salman Satti,CEO/Director,51
9260897-2,36302-2988927-1,Abdullah Malik,CEO/Director,75
2856692-4,35202-4263226-7,Muhammad Waqas Raja,CEO/Director,60
5746257-4,61101-5358602-5,Muhammad Abdullah Mir,CEO/Director,75
5837513-4,37405-7318569-1,Muhammad Shahzad Awan,CEO/Director,75
8179186-1,36302-8691392-4,Iqra Satti,CEO/Director,51
8888793-4,35202-1291798-7,Imran Satti,CEO/Director,100
7866302-4,33100-8848756-7,Muhammad Saad Raja,CEO/Director,75
7721354-0,42101-0705499-6,Fatima Gondal,CEO/Director,100
9083891-1,37405-2772294-0,Sana Mughal,CEO/Director,51
3042091-6,34603-3848791-8,Amna Dar,CEO/Director,75
8256263-0,37405-9548633-7,Muhammad Abdullah Satti,CEO/Director,100
3167238-6,34603-6299997-3,Abdullah Sheikh,CEO/Director,100
4846751-9,33100-9151319-9,Muhammad Junaid Awan,CEO/Director,75
4251149-6,34101-9134851-8,Mehwish Bhatti,CEO/Director,51
7127351-0,34101-0533481-0,Amna Bhatti,CEO/Director,100
8455308-5,34603-0954975-3,Imran Qureshi,CEO/Director,51
9232757-5,37405-7078841-5,Faizan Qureshi,CEO/Director,51
5061112-9,33100-1134937-1,Ali Tarar,CEO/Director,75
3329769-5,34101-5372985-7,Tariq Cheema,CEO/Director,60
7242998-4,34603-9255386-4,Kiran Sheikh,CEO/Director,51
6382255-0,33100-2551386-5,Saad Gondal,CEO/Director,75
8812792-3,34603-6804934-9,Imran Butt,CEO/Director,60
7779045-7,35202-6635140-0,Iqra Malik,CEO/Director,75
4215715-6,37405-5311118-7,Tariq Chaudhry,CEO/Director,60
8597210-4,36302-5612501-3,Muhammad Asad Raja,CEO/Director,60
7820522-7,42101-4905035-3,Faizan Cheema,CEO/Director,75
8127987-6,34101-9421105-8,Nimra Bhatti,CEO/Director,51
1537452-5,33100-9779322-7,Muhammad Saad Gondal,CEO/Director,51
9457716-6,34101-9903972-6,Zainab Mughal,CEO/Director,51
8940959-8,33100-0196040-1,Nauman Abbasi,CEO/Director,51
5390748-8,35202-4317222-3,Muhammad Ahmed Satti,CEO/Director,60
5617889-6,36302-9445218-1,Muhammad Ahmed Sandhu,CEO/Director,75
5418646-8,37405-1528170-8,Nimra Dar,CEO/Director,100
9699481-2,37405-2911009-5,Muhammad Gondal,CEO/Director,75
4644491-9,35202-6647655-7,Asad Sandhu,CEO/Director,60
6010538-0,36302-8623089-1,Waqas Rana,CEO/Director,75
3290847-5,36302-8044978-9,Adnan Warraich,CEO/Director,75
5748746-6,42101-8473183-9,Muhammad Hassan Cheema,CEO/Director,75
3753582-6,36302-6966112-5,Bilal Chaudhry,CEO/Director,100
5486094-7,35202-4021337-3,Bilawal Khan,CEO/Director,75
4318954-1,33100-8898095-7,Muhammad Bilawal Dar,CEO/Director,51
2501383-0,42101-7103523-0,Nimra Tarar,CEO/Director,100
5100214-1,34603-2801593-9,Kamran Chaudhry,CEO/Director,75
5524068-3,33100-9035922-5,Faizan Malik,CEO/Director,100
9469007-2,33100-8257583-7,Bilawal Bhatti,CEO/Director,75
9352207-8,34101-6981464-1,Ahmed Janjua,CEO/Director,100
6595285-1,33100-2387762-0,Sana Qureshi,CEO/Director,60
7423203-7,37405-5808776-1,Muhammad Faizan Sandhu,CEO/Director,51
7004568-4,36302-3549249-1,Muhammad Hussain Abbasi,CEO/Director,51
1792333-7,35202-5433599-9,Shahzad Malik,CEO/Director,60
7733294-6,34101-6013635-5,Faizan Sheikh,CEO/Director,100
6790829-7,42101-8279809-1,Salman Malik,CEO/Director,60
4777060-6,37405-2515523-3,Zain Khan,CEO/Director,75
7731955-0,33100-1571902-4,Nimra Gondal,CEO/Director,100
1352824-1,61101-9786692-3,Muhammad Kamran Tarar,CEO/Director,75
8530055-6,17301-8911169-7,Muhammad Malik,CEO/Director,60
1382195-1,34101-5786011-3,Tariq Chaudhry,CEO/Director,60
7851860-5,61101-3642456-9,Muhammad Waqas Chaudhry,CEO/Director,51
3939131-4,37405-1537230-7,Muhammad Rizwan Rana,CEO/Director,60
3739082-9,35202-9097799-3,Bilal Rana,CEO/Director,100
6640798-5,61101-4191308-0,Ayesha Raja,CEO/Director,51
6720307-8,33100-3089780-3,Zain Dar,CEO/Director,75
1390174-1,37405-0064981-6,Iqra Raja,CEO/Director,60
2377109-3,37405-9075032-5,Asad Gondal,CEO/Director,60
4556541-1,61101-4925135-5,Usman Sandhu,CEO/Director,100
5084157-8,34603-3170559-1,Hamza Satti,CEO/Director,100
2003759-2,36302-5349779-8,Fatima Janjua,CEO/Director,60
6277908-4,17301-2557424-9,Faizan Khan,CEO/Director,60
7920350-1,33100-2525982-2,Sidra Mughal,CEO/Director,100
7807024-9,33100-1034896-9,Junaid Janjua,CEO/Director,75
4723901-0,42101-0699764-5,Danish Khan,CEO/Director,51
3605336-9,35202-0449996-2,Komal Chaudhry,CEO/Director,75
7382559-4,33100-1090207-7,Nauman Cheema,CEO/Director,75
1552245-1,36302-0096718-3,Imran Sheikh,CEO/Director,51
7750081-6,36302-4466556-1,Hamza Khan,CEO/Director,100
3570141-2,34603-3202234-2,Sidra Dar,CEO/Director,100
7466109-6,36302-8837721-6,Hina Chaudhry,CEO/Director,51
7363730-5,36302-4754539-3,Fahad Janjua,CEO/Director,51
1295305-9,35202-7045001-3,Muhammad Qureshi,CEO/Director,51
5924147-0,36302-6805638-3,Shahzad Satti,CEO/Director,100
9018733-9,34603-3408746-1,Hamza Sandhu,CEO/Director,60
3998950-0,35202-6129542-2,Hina Janjua,CEO/Director,51
7600279-7,34603-1210927-7,Muhammad Faizan Bhatti,CEO/Director,60
6640988-4,17301-1614371-5,Muhammad Faizan Mughal,CEO/Director,75
1445218-3,34101-7336807-3,Muhammad Mughal,CEO/Director,60
6548253-0,35202-3099928-8,Sidra Chaudhry,CEO/Director,60
9897768-5,37405-1066029-8,Hina Warraich,CEO/Director,51
8216704-2,36302-9294662-9,Muhammad Bilal Abbasi,CEO/Director,75
1014037-5,17301-9086747-3,Kamran Rana,CEO/Director,60
6260836-9,34101-6014588-8,Ayesha Butt,CEO/Director,51
1399500-0,37405-3156996-7,Muhammad Danish Chaudhry,CEO/Director,100
3181692-5,35202-3560339-7,Kamran Mir,CEO/Director,51
2194813-5,34101-0285109-9,Farhan Awan,CEO/Director,75
8787927-2,34603-9460411-1,Usman Bhatti,CEO/Director,51
1479892-3,61101-1932287-3,Muhammad Ahmed Malik,CEO/Director,51
5831171-8,34101-4027232-8,Hira Sandhu,CEO/Director,100
6660943-5,35202-5326941-1,Waqas Raja,CEO/Director,60
6471600-2,34603-5027204-0,Sobia Qureshi,CEO/Director,75
5619139-0,42101-5894817-7,Hussain Gondal,CEO/Director,100
3290675-4,42101-0648120-9,Faizan Butt,CEO/Director,75
1246706-3,61101-1263102-3,Kamran Raja,CEO/Director,60
1014052-8,33100-6612125-3,Hamza Awan,CEO/Director,60
9788759-7,36302-5503506-1,Muhammad Umar Sandhu,CEO/Director,60
8910206-0,37405-4329881-2,Rabia Chaudhry,CEO/Director,100
3042089-0,33100-5841316-9,Danish Janjua,CEO/Director,60
2330579-5,36302-7047033-9,Adnan Mir,CEO/Director,60
8513628-0,42101-6789217-6,Maryam Bhatti,CEO/Director,60
3991242-9,34101-6439228-1,Hamza Warraich,CEO/Director,51
3067154-7,33100-4691898-7,Fahad Malik,CEO/Director,100
8102603-6,35202-2037449-3,Muhammad Junaid Khan,CEO/Director,75
2162129-4,37405-6758974-6,Komal Cheema,CEO/Director,75
5758103-6,17301-7793561-5,Bilal Janjua,CEO/Director,51
2552616-7,35202-4239654-9,Muhammad Imran Dar,CEO/Director,60
8957628-9,37405-0670674-5,Shahzad Cheema,CEO/Director,75
9362137-3,35202-2474271-6,Areeba Tarar,CEO/Director,75
4201101-5,34101-5019904-3,Muhammad Ahmed Raja,CEO/Director,100
6117551-3,34101-6059929-5,Waqas Rana,CEO/Director,100
5666309-8,34101-5356091-3,Waqas Awan,CEO/Director,100
6507571-6,34101-6795543-3,Junaid Mughal,CEO/Director,60
6011844-9,42101-7954762-8,Fatima Abbasi,CEO/Director,75
6320761-0,34101-2250183-3,Muhammad Adnan Chaudhry,CEO/Director,60
6014980-7,37405-2443794-5,Shahzad Cheema,CEO/Director,51
7603358-4,33100-5701214-9,Bilal Bhatti,CEO/Director,60
2618585-8,36302-1643444-6,Saba Malik,CEO/Director,75
9044757-0,42101-6680089-5,Imran Rana,CEO/Director,60
4418932-1,36302-9596724-4,Hira Warraich,CEO/Director,60
8825534-0,33100-1384253-2,Fatima Butt,CEO/Director,75
2675506-5,37405-3823784-1,Muhammad Kamran Chaudhry,CEO/Director,60
7898169-9,37405-7992241-6,Komal Butt,CEO/Director,51
8281395-8,35202-6567611-2,Komal Butt,CEO/Director,60
7454383-9,36302-9799301-9,Muhammad Zain Gondal,CEO/Director,100
1195413-3,35202-3590047-8,Ayesha Qureshi,CEO/Director,75
1987521-3,34603-2463579-9,Muhammad Kamran Satti,CEO/Director,51
7548712-5,42101-6019703-9,Muhammad Farhan Janjua,CEO/Director,75
2111042-4,33100-5465633-0,Sana Sheikh,CEO/Director,100
8675629-3,36302-3084867-9,Muhammad Farhan Satti,CEO/Director,51
2852882-5,34603-4189179-1,Imran Abbasi,CEO/Director,51
6416366-6,34101-1103262-1,Zain Mir,CEO/Director,51
4156059-9,34101-0627320-0,Nimra Gondal,CEO/Director,100
7233800-0,35202-5334589-7,Muhammad Bilal Rana,CEO/Director,75
9931646-1,33100-9258166-4,Sidra Qureshi,CEO/Director,51
5324744-6,35202-8133945-7,Imran Chaudhry,CEO/Director,100
3840816-3,34603-6832018-8,Areeba Warraich,CEO/Director,100
9544391-5,34603-2135062-1,Muhammad Imran Malik,CEO/Director,60
4710524-3,35202-6600880-1,Shahzad Butt,CEO/Director,51
9887037-0,33100-6561002-1,Adnan Mir,CEO/Director,51
8867935-9,36302-3193364-8,Hina Bhatti,CEO/Director,60
6348748-0,42101-4999720-7,Bilawal Warraich,CEO/Director,75
7902905-2,61101-4413294-3,Muhammad Danish Sandhu,CEO/Director,60
5320511-7,37405-6617155-1,Hassan Rana,CEO/Director,51
4043421-9,35202-8343841-2,Sadia Bhatti,CEO/Director,75
7120564-0,33100-3252168-7,Fahad Cheema,CEO/Director,100
3794856-6,42101-5808944-9,Hassan Sandhu,CEO/Director,75
7719023-6,33100-6526597-3,Salman Gondal,CEO/Director,100
5979890-8,34603-4958840-2,Noor Malik,CEO/Director,51
7166173-7,17301-9981197-7,Muhammad Zain Warraich,CEO/Director,100
6659514-9,17301-5540638-6,Maryam Bhatti,CEO/Director,75
4070909-2,42101-4703964-1,Muhammad Adnan Chaudhry,CEO/Director,100
5919411-9,33100-8077347-9,Muhammad Raja,CEO/Director,100
6766302-3,33100-1845041-7,Rizwan Warraich,CEO/Director,51
2133263-3,42101-6701797-5,Muhammad Adnan Mughal,CEO/Director,51
5549753-8,35202-2518118-9,Nauman Sheikh,CEO/Director,60
3071779-7,35202-5007599-9,Ali Raja,CEO/Director,100
6948026-9,36302-3479558-8,Fatima Dar,CEO/Director,100
4220831-1,61101-1865003-7,Muhammad Gondal,CEO/Director,60
2696557-1,35202-0012049-1,Muhammad Janjua,CEO/Director,100
6804314-9,17301-1188492-9,Muhammad Tariq Mughal,CEO/Director,75
8653269-5,17301-6589041-8,Sidra Satti,CEO/Director,75
5573437-0,34101-4036340-7,Junaid Satti,CEO/Director,51
1772194-0,33100-7277091-3,Muhammad Fahad Mughal,CEO/Director,75
1848709-0,35202-1106940-8,Hira Dar,CEO/Director,60
3340856-4,37405-2593814-5,Adnan Sandhu,CEO/Director,60
2806636-5,33100-0909556-1,Hussain Mir,CEO/Director,51
7365033-0,34603-9778832-0,Sana Bhatti,CEO/Director,60
1080754-4,42101-2605533-9,Hamza Janjua,CEO/Director,51
6790546-2,35202-6436006-9,Muhammad Umar Sandhu,CEO/Director,51
3016291-8,34101-6505033-6,Hira Cheema,CEO/Director,60
3086545-7,35202-1078735-6,Areeba Rana,CEO/Director,51
5810982-7,42101-6545357-7,Saad Sandhu,CEO/Director,75
1340092-3,42101-4681483-8,Iqra Rana,CEO/Director,100
2123407-0,35202-8823538-9,Muhammad Fahad Malik,CEO/Director,60
6958039-7,34101-8738286-1,Muhammad Qureshi,CEO/Director,100
5797593-1,34101-3510369-9,Muhammad Nauman Satti,CEO/Director,100
8324302-8,34101-7931216-3,Asad Mir,CEO/Director,100
7856230-8,34603-2394430-7,Ahmed Janjua,CEO/Director,100
